epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,790.958,0.26635,0.36618,0.79517,0.98373,0.98738,0.99133,0.98151,0.16042,0.1752,0.76636,0.003332,0.003332,0.003332
2,1566.08,0.28195,0.38727,0.79839,0.98703,0.98624,0.99152,0.98339,0.15347,0.16765,0.76518,0.00663932,0.00663932,0.00663932
3,2326.91,0.31091,0.42285,0.80543,0.98232,0.98532,0.99084,0.9819,0.15798,0.18324,0.76693,0.00984317,0.00984317,0.00984317
4,3086.76,0.33304,0.46395,0.81234,0.98451,0.98604,0.99096,0.98233,0.15461,0.17051,0.766,0.00965239,0.00965239,0.00965239
5,3846.43,0.32878,0.45683,0.81191,0.98745,0.98692,0.99127,0.98307,0.15252,0.16167,0.76572,0.00938772,0.00938772,0.00938772
6,4605.49,0.32324,0.44858,0.81019,0.98687,0.99028,0.99152,0.98317,0.15072,0.15486,0.76511,0.00905463,0.00905463,0.00905463
7,5364.78,0.31795,0.43842,0.80903,0.98673,0.99051,0.99143,0.98286,0.14962,0.15229,0.76476,0.00865839,0.00865839,0.00865839
