epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.53055,1.56512,4.25088,1.1932,0.02937,0.81,0.10751,0.08221,0.54675,3.91435,0.77902,0.00017136,0.00017136,0.00017136
2,6.94865,0.65862,3.25143,0.83784,0.03393,0.982,0.2681,0.24297,0.42409,3.31319,0.75277,0.000280588,0.000280588,0.000280588
3,10.4182,0.55375,2.57879,0.82287,0.84511,0.33008,0.59185,0.51446,0.46404,2.4691,0.7797,0.000319129,0.000319129,0.000319129
4,13.8423,0.50055,2.11599,0.81555,0.70396,0.73955,0.82796,0.75075,0.38567,1.64742,0.78559,0.000286985,0.000286985,0.000286985
5,17.2981,0.46463,1.86275,0.81342,0.76988,0.84378,0.88539,0.83026,0.32863,1.32941,0.7827,0.000148512,0.000148512,0.000148512
