epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.49898,1.79679,4.28301,1.33232,0.02703,0.79289,0.07539,0.04254,1.06428,4.02762,0.88622,0.00017136,0.00017136,0.00017136
2,6.94129,1.1001,3.28925,0.96084,0.0341,0.99746,0.20556,0.14916,0.8758,3.34732,0.83993,0.000280588,0.000280588,0.000280588
3,10.4669,0.99054,2.58982,0.95124,0.57707,0.18878,0.41329,0.31911,0.816,2.57388,0.86472,0.000319129,0.000319129,0.000319129
4,13.8792,0.93452,2.17498,0.93563,0.70499,0.65623,0.75342,0.5937,0.76697,1.93415,0.87227,0.000286985,0.000286985,0.000286985
5,17.3184,0.86168,1.91242,0.9153,0.73012,0.80246,0.85694,0.71007,0.67237,1.50386,0.84224,0.000148512,0.000148512,0.000148512
