epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.72951,1.79679,4.28301,1.33232,0.02703,0.79289,0.07539,0.04254,1.06428,4.02762,0.88622,0.00017136,0.00017136,0.00017136
2,8.15443,1.0874,3.22953,0.95718,0.0344,0.99949,0.23574,0.1721,0.85705,3.22889,0.84555,0.000342933,0.000342933,0.000342933
3,11.7683,0.954,2.42337,0.94356,0.65808,0.30961,0.58785,0.46235,0.76555,2.32507,0.86789,0.000507437,0.000507437,0.000507437
