epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.07615,1.78959,4.26365,1.30905,0.02141,0.6545,0.06577,0.03556,1.00186,4.02774,0.87417,0.00017136,0.00017136,0.00017136
2,10.5929,1.08663,3.22852,0.95469,0.03462,0.9945,0.23825,0.16973,0.87231,3.20979,0.83589,0.000342933,0.000342933,0.000342933
3,14.1868,0.95744,2.39669,0.93195,0.48728,0.27782,0.45014,0.35169,0.77418,2.45919,0.84732,0.000507437,0.000507437,0.000507437
4,17.788,0.87919,1.88789,0.91646,0.63431,0.65582,0.73794,0.60005,0.68647,1.85075,0.84088,0.000664873,0.000664873,0.000664873
5,21.2957,0.80657,1.55972,0.8954,0.8504,0.8467,0.94046,0.79514,0.63036,1.37037,0.83301,0.000657451,0.000657451,0.000657451
6,24.8464,0.76198,1.31035,0.89211,0.95891,0.94504,0.98853,0.83721,0.64206,0.96793,0.82487,0.000643314,0.000643314,0.000643314
7,28.3942,0.72661,1.1342,0.88896,0.92061,0.93747,0.99278,0.8749,0.54405,0.79797,0.79435,0.000629177,0.000629177,0.000629177
8,31.9127,0.65567,0.9576,0.86398,0.98737,0.98209,0.99321,0.88194,0.52888,0.64523,0.79156,0.00061504,0.00061504,0.00061504
9,35.7168,0.63862,0.86734,0.8663,0.99189,0.99289,0.99497,0.88405,0.52633,0.58385,0.78645,0.000600902,0.000600902,0.000600902
10,39.1804,0.7014,0.84898,0.86554,0.99537,0.9955,0.99499,0.86684,0.56443,0.56335,0.80098,0.000586765,0.000586765,0.000586765
11,42.695,0.63359,0.7951,0.85801,0.99712,0.99886,0.995,0.89853,0.46611,0.53247,0.77842,0.000572628,0.000572628,0.000572628
12,46.16,0.58713,0.73252,0.84868,0.9987,0.99921,0.995,0.90558,0.45275,0.47724,0.77281,0.000558491,0.000558491,0.000558491
13,49.7151,0.56604,0.70117,0.84657,0.997,0.99958,0.995,0.91351,0.42253,0.46814,0.76876,0.000544354,0.000544354,0.000544354
14,53.1961,0.54288,0.6774,0.84731,0.99822,1,0.995,0.91815,0.40851,0.44527,0.76745,0.000530216,0.000530216,0.000530216
15,56.7717,0.50058,0.61814,0.83848,0.99837,0.99999,0.995,0.92802,0.38296,0.42899,0.76286,0.000516079,0.000516079,0.000516079
16,60.3092,0.51528,0.63444,0.83411,0.9989,0.99987,0.995,0.9322,0.36976,0.42048,0.76153,0.000501942,0.000501942,0.000501942
17,63.7661,0.50884,0.60083,0.8294,0.99902,0.99962,0.995,0.9292,0.37648,0.41491,0.76038,0.000487805,0.000487805,0.000487805
18,67.293,0.52395,0.5984,0.82581,0.99878,1,0.995,0.92414,0.38612,0.42146,0.75981,0.000473668,0.000473668,0.000473668
19,70.7129,0.49037,0.58066,0.82442,0.99862,0.99998,0.995,0.9273,0.37353,0.40613,0.75922,0.00045953,0.00045953,0.00045953
20,74.305,0.46382,0.56135,0.82645,0.99941,1,0.995,0.92725,0.38229,0.39054,0.75825,0.000445393,0.000445393,0.000445393
21,77.7947,0.47653,0.56074,0.82484,0.99885,1,0.995,0.94341,0.34174,0.38274,0.75473,0.000431256,0.000431256,0.000431256
22,81.3175,0.4652,0.5526,0.8233,0.99865,0.99998,0.995,0.94787,0.33073,0.37163,0.75441,0.000417119,0.000417119,0.000417119
23,84.863,0.44928,0.53142,0.82003,0.99939,1,0.995,0.94767,0.33363,0.35485,0.754,0.000402982,0.000402982,0.000402982
24,88.614,0.44378,0.53358,0.82046,0.99915,0.99991,0.995,0.95075,0.32396,0.3673,0.7515,0.000388844,0.000388844,0.000388844
25,92.1479,0.44609,0.53193,0.82248,0.99915,1,0.995,0.95304,0.31779,0.36003,0.7512,0.000374707,0.000374707,0.000374707
26,95.6834,0.42554,0.51522,0.81546,0.99863,0.99971,0.995,0.95052,0.31823,0.36262,0.74948,0.00036057,0.00036057,0.00036057
27,99.1615,0.42925,0.50841,0.81548,0.99895,0.99993,0.995,0.95528,0.31124,0.34777,0.74923,0.000346433,0.000346433,0.000346433
28,102.669,0.42672,0.50108,0.81247,0.9986,0.99981,0.995,0.95233,0.31598,0.36039,0.75019,0.000332296,0.000332296,0.000332296
29,106.08,0.4329,0.50519,0.81593,0.99932,1,0.995,0.9579,0.30308,0.34355,0.7496,0.000318158,0.000318158,0.000318158
30,109.523,0.4317,0.50617,0.81531,0.9994,1,0.995,0.95669,0.30388,0.34329,0.74865,0.000304021,0.000304021,0.000304021
31,112.974,0.42652,0.49332,0.81353,0.99917,1,0.995,0.95724,0.30532,0.33006,0.75049,0.000289884,0.000289884,0.000289884
32,116.445,0.421,0.48351,0.81472,0.99902,1,0.995,0.95947,0.29908,0.32765,0.74874,0.000275747,0.000275747,0.000275747
33,119.931,0.39842,0.48119,0.81379,0.99929,0.99982,0.995,0.96224,0.29289,0.33663,0.7461,0.00026161,0.00026161,0.00026161
34,123.426,0.39865,0.47461,0.81564,0.99926,1,0.995,0.96574,0.28728,0.3181,0.74627,0.000247472,0.000247472,0.000247472
35,127.029,0.39984,0.46968,0.81358,0.99937,1,0.995,0.96221,0.28787,0.32146,0.74687,0.000233335,0.000233335,0.000233335
36,130.459,0.39323,0.46609,0.81161,0.99934,1,0.995,0.96757,0.28216,0.31621,0.74661,0.000219198,0.000219198,0.000219198
37,134.16,0.39633,0.46381,0.80998,0.99941,1,0.995,0.96442,0.28309,0.31942,0.74601,0.000205061,0.000205061,0.000205061
38,137.603,0.38017,0.45234,0.80949,0.99945,1,0.995,0.96524,0.28443,0.31361,0.74583,0.000190924,0.000190924,0.000190924
39,141.029,0.38376,0.44422,0.80673,0.99953,0.99993,0.995,0.97152,0.26912,0.30908,0.74424,0.000176786,0.000176786,0.000176786
40,144.434,0.3865,0.46837,0.81323,0.99955,0.99985,0.995,0.97091,0.26625,0.30479,0.74375,0.000162649,0.000162649,0.000162649
41,148.637,0.36808,0.49765,0.79841,0.99932,0.9997,0.995,0.96004,0.29022,0.34868,0.74419,0.000148512,0.000148512,0.000148512
42,152.179,0.36007,0.4616,0.79441,0.99929,1,0.995,0.96344,0.28491,0.31989,0.74419,0.000134375,0.000134375,0.000134375
43,155.631,0.34416,0.45443,0.79033,0.99946,0.9998,0.995,0.9664,0.27969,0.32096,0.74374,0.000120238,0.000120238,0.000120238
44,159.126,0.34253,0.44548,0.79665,0.99954,0.99985,0.995,0.96745,0.27952,0.307,0.74466,0.0001061,0.0001061,0.0001061
45,162.622,0.33772,0.4433,0.79302,0.99944,0.99964,0.995,0.96769,0.27515,0.31142,0.74326,9.19632e-05,9.19632e-05,9.19632e-05
46,166.075,0.328,0.42865,0.79267,0.9995,0.99993,0.995,0.96891,0.27219,0.30109,0.74293,7.7826e-05,7.7826e-05,7.7826e-05
47,169.491,0.31627,0.4191,0.7927,0.99949,0.99992,0.995,0.96934,0.27267,0.30027,0.74313,6.36888e-05,6.36888e-05,6.36888e-05
48,172.91,0.31353,0.41612,0.79272,0.99937,0.99974,0.995,0.9713,0.26732,0.304,0.7428,4.95516e-05,4.95516e-05,4.95516e-05
49,176.314,0.31779,0.41531,0.78437,0.99942,0.99986,0.995,0.97007,0.27002,0.29946,0.74318,3.54144e-05,3.54144e-05,3.54144e-05
