epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28921.3,0.15423,0.26724,0.77539,0.99346,0.99704,0.99376,0.98948,0.11561,0.1029,0.76524,0.000643101,0.000643101,0.000643101
43,29608.6,0.15387,0.26598,0.77522,0.99347,0.99706,0.99375,0.98943,0.11563,0.1022,0.76516,0.000628101,0.000628101,0.000628101
44,30295.4,0.15307,0.26555,0.77527,0.99352,0.997,0.99376,0.98945,0.11521,0.10131,0.76508,0.000612981,0.000612981,0.000612981
45,30981.3,0.1541,0.26371,0.77533,0.99354,0.99708,0.99376,0.98929,0.11542,0.10073,0.76503,0.000597754,0.000597754,0.000597754
46,31667,0.15237,0.26206,0.77537,0.99359,0.99713,0.99376,0.9893,0.1152,0.10016,0.76496,0.000582435,0.000582435,0.000582435
47,32353,0.15218,0.26121,0.77519,0.99351,0.99722,0.99376,0.98928,0.11514,0.09959,0.76491,0.00056704,0.00056704,0.00056704
48,33039.2,0.15043,0.25981,0.7749,0.99353,0.99723,0.99375,0.98922,0.11544,0.09903,0.76489,0.000551584,0.000551584,0.000551584
49,33724.9,0.14988,0.25696,0.77487,0.99357,0.99721,0.99376,0.98933,0.11489,0.09844,0.76484,0.000536081,0.000536081,0.000536081
50,34410.7,0.15023,0.2587,0.77498,0.9936,0.99728,0.99378,0.98941,0.11405,0.09764,0.76477,0.000520548,0.000520548,0.000520548
51,35096.5,0.14955,0.25545,0.77481,0.99364,0.99733,0.99378,0.98955,0.11321,0.09719,0.76469,0.000505,0.000505,0.000505
52,35782,0.14755,0.25376,0.77448,0.99364,0.99737,0.9938,0.98957,0.11306,0.09673,0.76465,0.000489452,0.000489452,0.000489452
